Z	A	FPS	Yield	Uncertainty					
45	118	0	2.46E-06	1.57E-06					
47	118	1	7.23E-05	4.63E-05					
48	118	0	3.83E-05	2.45E-05					
49	118	2	1.44E-08	9.25E-09					
49	118	1	1.44E-08	9.25E-09					
50	118	0	6.96E-11	4.45E-11					
43	119	0	2.04E-15	1.31E-15					
45	119	0	2.68E-07	1.72E-07					
47	119	0	1.86E-04	1.19E-04					
48	119	0	5.84E-05	3.74E-05					
49	119	0	1.69E-06	1.08E-06					
50	119	0	6.89E-10	4.41E-10					
44	119	0	1.36E-10	8.70E-11					
46	119	0	4.52E-05	2.89E-05					
48	119	1	5.84E-05	3.74E-05					
49	119	1	3.46E-07	2.21E-07					
50	119	1	2.59E-09	1.66E-09					
51	119	0	8.86E-14	5.67E-14					
44	120	0	1.83E-12	1.17E-12					
46	120	0	9.36E-06	5.99E-06					
47	120	0	4.69E-05	3.00E-05					
48	120	0	2.39E-04	1.53E-04					
49	120	2	3.51E-06	2.25E-06					
49	120	1	3.51E-06	2.25E-06					
50	120	0	8.88E-08	5.68E-08					
51	120	0	2.68E-12	1.72E-12					
45	120	0	1.08E-08	6.91E-09					
47	120	1	4.69E-05	3.00E-05					
49	120	0	3.51E-06	2.25E-06					
51	120	1	4.56E-12	2.92E-12					
45	121	0	4.28E-10	2.74E-10					
48	121	0	1.34E-04	8.59E-05					
49	121	1	8.43E-06	5.40E-06					
50	121	1	8.24E-07	5.27E-07					
51	121	0	4.77E-10	3.05E-10					
52	121	0	7.85E-15	5.02E-15					
44	121	0	1.39E-14	8.89E-15					
46	121	0	1.04E-06	6.66E-07					
47	121	0	4.80E-05	3.07E-05					
48	121	1	1.34E-04	8.59E-05					
49	121	0	4.12E-05	2.63E-05					
50	121	0	2.90E-07	1.86E-07					
52	121	1	7.85E-15	5.02E-15					
46	122	0	1.00E-07	6.40E-08					
47	122	1	5.98E-06	3.83E-06					
49	122	0	3.59E-05	2.30E-05					
51	122	1	7.19E-09	4.60E-09					
45	122	0	8.12E-12	5.20E-12					
47	122	0	5.98E-06	3.83E-06					
48	122	0	2.73E-04	1.75E-04					
49	122	2	3.59E-05	2.30E-05					
49	122	1	3.59E-05	2.30E-05					
50	122	0	1.08E-05	6.92E-06					
51	122	0	5.42E-09	3.47E-09					
52	122	0	2.15E-12	1.38E-12					
45	123	0	1.37E-13	8.77E-14					
47	123	0	2.80E-06	1.79E-06					
48	123	0	1.52E-04	9.76E-05					
49	123	0	1.92E-04	1.23E-04					
50	123	0	3.96E-05	2.54E-05					
52	123	0	3.01E-11	1.93E-11					
46	123	0	4.79E-09	3.07E-09					
49	123	1	3.94E-05	2.52E-05					
50	123	1	1.39E-05	8.91E-06					
51	123	0	3.00E-07	1.92E-07					
52	123	1	1.13E-10	7.23E-11					
46	124	0	2.34E-10	1.50E-10					
49	124	1	1.43E-04	9.13E-05					
50	124	0	2.55E-04	1.63E-04					
51	124	2	1.17E-06	7.47E-07					
51	124	1	1.17E-06	7.47E-07					
52	124	0	8.13E-09	5.20E-09					
47	124	0	3.65E-07	2.34E-07					
48	124	0	8.87E-05	5.68E-05					
49	124	0	1.43E-04	9.13E-05					
51	124	0	1.17E-06	7.47E-07					
47	125	0	2.35E-11	1.50E-11					
48	125	0	5.22E-06	3.34E-06					
49	125	0	1.84E-04	1.17E-04					
50	125	1	8.00E-05	5.12E-05					
52	125	1	4.05E-13	2.59E-13					
49	125	1	1.84E-04	1.17E-04					
50	125	0	2.28E-04	1.46E-04					
51	125	0	3.80E-07	2.43E-07					
52	125	0	1.08E-13	6.91E-14					
49	126	1	1.45E-04	9.30E-05					
51	126	2	5.45E-07	3.49E-07					
51	126	1	5.45E-07	3.49E-07					
47	126	0	1.85E-12	1.18E-12					
48	126	0	1.92E-06	1.23E-06					
49	126	0	1.45E-04	9.30E-05					
50	126	0	6.79E-04	4.34E-04					
51	126	0	7.92E-07	5.07E-07					
52	126	0	1.25E-11	8.00E-12					
47	127	0	3.90E-13	2.50E-13					
48	127	0	1.06E-06	6.78E-07					
49	127	0	3.30E-04	2.11E-04					
50	127	0	0.00176146	0.00112734					
52	127	0	1.10E-10	7.04E-11					
49	127	1	3.30E-04	2.11E-04					
50	127	1	6.17E-04	3.95E-04					
51	127	0	2.47E-05	1.58E-05					
52	127	1	3.13E-10	2.00E-10					
49	128	1	1.97E-04	1.26E-04					
50	128	1	0.00227157	0.00145381					
51	128	0	4.35E-05	2.79E-05					
52	128	0	9.46E-09	6.05E-09					
47	128	0	1.52E-14	9.73E-15					
48	128	0	2.30E-07	1.47E-07					
49	128	0	1.97E-04	1.26E-04					
50	128	0	0.00227157	0.00145381					
51	128	1	6.01E-05	3.85E-05					
47	129	0	1.28E-15	8.18E-16					
48	129	0	3.76E-08	2.41E-08					
49	129	0	1.66E-04	1.07E-04					
50	129	0	0.0054959	0.00247316					
51	129	0	6.08E-04	3.89E-04					
52	129	1	1.18E-07	7.55E-08					
49	129	1	1.66E-04	1.07E-04					
50	129	1	0.00191043	0.00122268					
52	129	0	4.14E-08	2.65E-08					
49	130	2	2.86E-04	1.83E-04					
49	130	0	2.86E-04	1.83E-04					
50	130	1	0.00661321	0.00423246					
51	130	1	0.00209432	0.00134037					
53	130	0	1.30E-07	8.32E-08					
54	130	0	1.90E-11	1.22E-11					
46	130	0	2.56E-14	1.64E-14					
47	130	0	1.45E-09	9.28E-10					
48	130	0	1.12E-05	7.17E-06					
49	130	1	2.86E-04	1.83E-04					
50	130	0	0.00661321	0.00423246					
51	130	0	0.00151689	9.71E-04					
52	130	0	2.40E-04	1.54E-04					
53	130	1	4.80E-08	3.07E-08					
47	131	0	1.47E-11	9.41E-12					
48	131	0	9.78E-07	6.26E-07					
49	131	0	1.88E-04	1.20E-04					
50	131	1	0.00693282	0.004437					
52	131	0	7.54E-04	4.83E-04					
53	131	0	1.08E-05	6.92E-06					
54	131	1	2.41E-09	1.54E-09					
55	131	0	1.62E-14	1.04E-14					
49	131	1	1.88E-04	1.20E-04					
50	131	0	0.00693282	0.004437					
51	131	0	0.014956	0.00343987					
52	131	1	0.00223833	0.00143253					
54	131	0	8.46E-10	5.41E-10					
50	132	0	0.00321367	3.54E-04					
51	132	0	0.0171981	0.00550338					
52	132	0	0.0107473	0.00171957					
53	132	0	5.12E-05	3.28E-05					
47	132	0	1.79E-13	1.15E-13					
48	132	0	1.61E-08	1.03E-08					
49	132	0	1.81E-05	1.16E-05					
51	132	1	0.0154315	0.00493809					
53	132	1	5.12E-05	3.28E-05					
54	132	0	1.71E-07	1.09E-07					
55	132	0	2.62E-12	1.68E-12					
48	133	0	8.76E-11	5.61E-11					
49	133	0	2.70E-06	1.73E-06					
51	133	0	0.0152368	0.00121894					
52	133	1	0.0205108	0.00225619					
53	133	0	0.00191884	0.00122806					
54	133	0	1.45E-05	8.73E-07					
55	133	0	7.52E-10	4.81E-10					
